No.,名　言,リ　ン　ク,,,,,,,,,,,,,,,,,,,,,
48,「ノーチラスとことこ歩きすぎやろｗ」,https://www.twitch.tv/alfrea/clip/PeppyInventivePieBleedPurple-jseV7Tcsl0r9g6yJ?filter=clips&range=7d&sort=time,,,,,,,,,,,,,,,,,,,,,
49,「ファイトマジで下手、悲しくなっちゃう...なんでこれで負けれる？」,https://www.twitch.tv/alfrea/clip/BlazingSpookyTaroOpieOP-UGr-7xXSxj1MNVzq?filter=clips&range=7d&sort=time,,,,,,,,,,,,,,,,,,,,,
50,「耐えて耐えて崩壊したならともかく、仕掛けてって崩壊するのは...ワッツ？」,https://www.twitch.tv/alfrea/clip/WonderfulElegantCarrotEleGiggle-R5UAskbZDDbwnx7f?filter=clips&range=7d&sort=time,,,,,,,,,,,,,,,,,,,,,
51,「これ誰か操作してあげてください」,https://www.twitch.tv/alfrea/clip/CrepuscularPoliteMooseItsBoshyTime-CLiw2MHc_cLj43YH?filter=clips&range=7d&sort=time,,,,,,,,,,,,,,,,,,,,,
52,「助け合いの心がないですこのチームには」,https://www.twitch.tv/alfrea/clip/MoralKawaiiGrasshopperBrainSlug-IL8gHHiQV8l2uUtn?filter=clips&range=7d&sort=time,,,,,,,,,,,,,,,,,,,,,
53,「このクソJGマジで」,https://www.twitch.tv/alfrea/clip/WiseAggressiveAsparagusVoteNay-wmAfuFw38yzI5vJq?filter=clips&range=24hr&sort=time,,,,,,,,,,,,,,,,,,,,,
54,「プロゲーマーマジパンクしますよ、自分の事しか考えてないのにパンクする」,https://www.twitch.tv/alfrea/clip/AthleticProtectiveClamRuleFive--0a0-fNbFz7kwgNY?filter=clips&range=24hr&sort=time,,,,,,,,,,,,,,,,,,,,,
55,「おい、レディアント使え」,https://www.twitch.tv/alfrea/clip/ZealousBlushingBisonPraiseIt-l2FHA3aWZiZ_HiFU?filter=clips&range=24hr&sort=time,,,,,,,,,,,,,,,,,,,,,
56,「体型の仕上がりって、JGの最終形態はしゃるさんってこと？」,https://www.twitch.tv/alfrea/clip/HonorableHonorableDeerNononoCat-NpndkRL7Ck7RRqu2?filter=clips&range=24hr&sort=time,,,,,,,,,,,,,,,,,,,,,
57,(LJL観戦中のeviのビルドチャレコメを見て)「クビにした方がいいんじゃないか？ビルドもわかんねぇってこいつ」,https://www.twitch.tv/alfrea/clip/InquisitiveTenderWeaselDatSheffy-K42q_lQbOXutsly4?filter=clips&range=24hr&sort=time,,,,,,,,,,,,,,,,,,,,,
58,「サッカー見ましたか？...非国民ですね」,https://www.twitch.tv/alfrea/clip/ArborealHotCucumberImGlitch-thss0dvQplnIfWtF,,,,,,,,,,,,,,,,,,,,,
59,「謝る方が悪いんだよね」,https://www.twitch.tv/alfrea/clip/PreciousPlausibleStapleEleGiggle-KzkNtEad6Ujk0lvo,,,,,,,,,,,,,,,,,,,,,
60,「掃除機とZerostの声交互に流しても絶対気付かん、本当に」,https://www.twitch.tv/alfrea/clip/SpinelessIronicGorillaBudStar-NQiST0-EjzSkTf0O,,,,,,,,,,,,,,,,,,,,,
61,「じゃすはデブだよ。しゃるさんとじゃすぱーどっちの体脂肪率が高いっていわれたらちょっと悩むもん」,https://www.twitch.tv/alfrea/clip/DirtySmoothTardigradeKappaWealth-0ukiPyy1Pk2ufXPN,,,,,,,,,,,,,,,,,,,,,
62,「（なぜたかやスペシャルにちくちくするのか聞かれて）話聞かないんだよなあいつ。話聞かないのに謝ってくんのやめてほしい」,https://www.twitch.tv/alfrea/clip/VenomousMushyOcelotTheRinger-f_LcaGoZFiKpIjfG,,,,,,,,,,,,,,,,,,,,,
63,(なぎさっちに殺されて)「このババアマジで」,https://clips.twitch.tv/SavageDelightfulGarageKeepo-wKv5fJmsAUQhThuh,,,,,,,,,,,,,,,,,,,,,
64,「ウルト切って～ウルトウルト、ウルト（シヴィアRピン連打）→これね、midにトロールいます→もしかして聞こえてない？」,https://www.twitch.tv/alfrea/clip/ThankfulBlatantWhaleOSfrog-lKvqiWTKrApkrmnP,,,,,,,,,,,,,,,,,,,,,
65,「最低の画像出てきたな　４０分遅刻じゃねえんだよ」,https://clips.twitch.tv/TriumphantEnticingOstrichTwitchRaid-MY9yODHDjuP0ZjVl,,,,,,,,,,,,,,,,,,,,,
66,「（彼女とはゲーム以外の事をしたくないかと聞かれ）女とゲームしたくない。そもそも」,https://www.twitch.tv/alfrea/clip/BetterCrowdedGoatNinjaGrumpy-1u_zhtgWsOQviZQR,,,,,,,,,,,,,,,,,,,,,
67,「（らいじんを犠牲に生きようとしたノーチラスに）お前それ避けてなんか未来あったか今？」,https://www.twitch.tv/alfrea/clip/AcceptableFlirtyPineapplePeteZaroll-4dkUZl7L6MVYwb2s,,,,,,,,,,,,,,,,,,,,,
68,「（滝行）絶対やだ、起きたときこいつバカなんじゃないかと思ったもん」,https://www.twitch.tv/alfrea/clip/ExpensivePiliableAmazonSuperVinlin-FYfE8relexoWzzVh?filter=clips&range=24hr&sort=timee,,,,,,,,,,,,,,,,,,,,,
69,「努力してる感のない女の子の体好きじゃないんだよね」,https://www.twitch.tv/alfrea/clip/BitterPluckyRadishMikeHogu-KlSTwpyt49gQjca8,,,,,,,,,,,,,,,,,,,,,
70,「俺たかやスペシャルほど生え際怪しくない。あいつやばかったけど」,https://www.twitch.tv/alfrea/clip/ProductiveStormyLocustBatChest-evbeRrbXGzPEvyVB,,,,,,,,,,,,,,,,,,,,,
71,「これ大丈夫かな？タマ付けたらち○ち○だけどこれ」,https://youtu.be/m2eljIcLc-g?t=1082,,,,,,,,,,,,,,,,,,,,,
72,「どっからどこが谷なの？ｗ」,https://www.twitch.tv/alfrea/clip/BreakableFaithfulVampireMikeHogu-llqFE37vbuKXvPRG,,,,,,,,,,,,,,,,,,,,,
73,「（他人とゲームする時は）女の子には一応優しくするようにしてる。優しくするという一手間がかかる分女のほうが面倒くさい」,https://www.twitch.tv/alfrea/clip/TolerantMoldyPandaNinjaGrumpy-tbbh6RSAA85Y2wLS,,,,,,,,,,,,,,,,,,,,,
74,「（クト様のビルドに関して）王剣買えって（リスナーに）言われて買った？…なんでだ」,https://www.twitch.tv/alfrea/clip/FlaccidDifficultPeppermintFutureMan-wY5o5l0xFqE6dhf_,,,,,,,,,,,,,,,,,,,,,
75,「知能の問題だろこれ。知育させた方がいい」,https://www.twitch.tv/alfrea/clip/PreciousColdNightingaleNotLikeThis-KVIzEax4Rk4kqlOG,,,,,,,,,,,,,,,,,,,,,
76,「牡蠣みたいな服」,https://www.twitch.tv/alfrea/clip/BombasticRudePizzaRuleFive-DEWMnz6ChjS164Cf,,,,,,,,,,,,,,,,,,,,,
77,「助けて、助けて助けて！ADCが弱い！」,https://www.twitch.tv/alfrea/clip/AmorphousRealCookieMVGame-STux1t7MQTJOwSlK,,,,,,,,,,,,,,,,,,,,,
78,「デブに救いはないよ、ないない」,https://www.twitch.tv/alfrea/clip/LuckyAffluentApeAMPTropPunch-qikHdtBenPVUPeiY,,,,,,,,,,,,,,,,,,,,,
79,「セルフキャストしない？論外の雑魚だな」,https://www.twitch.tv/alfrea/clip/CovertTransparentAyeayeSoBayed-Mn6bL0Ui-qG9eCvP,,,,,,,,,,,,,,,,,,,,,
80,「たかスペはキャリー枠じゃないから俺の中で。feedしてても別にたかスペがfeedしてるなってだけ。どうでもよくない？」,https://www.twitch.tv/alfrea/clip/SplendidSlickDragonflyNotLikeThis-lz25FcvZgNW8KeEC,,,,,,,,,,,,,,,,,,,,,
81,「黙っててほしい。マジで」,https://clips.twitch.tv/LovelyArbitraryWolfMingLee,,,,,,,,,,,,,,,,,,,,,
82,「ここはオフィスじゃねぇんだよ…(低音イケボ)」,https://clips.twitch.tv/HungryPreciousSpiderDansGame-LMJnMDWgkq_iSPhh,,,,,,,,,,,,,,,,,,,,,
83,「うるさいな浅い浅い、っへ、浅いなーって思ったら浅いですねって言え。なんだ浅くない？って。誰にお前は問いかけてるんだよ。俺に聞いてんのか？浅くないですか？あなたって。しね。」,https://twitter.com/atae01/status/1265315499291766784,,,,,,,,,,,,,,,,,,,,,
84,「なんだこのクソミニオン共マジで！」,https://clips.twitch.tv/EagerVastReubenVoteYea-3QmWbtuFl_uUZy_m,,,,,,,,,,,,,,,,,,,,,
85,「ファック」,https://www.twitch.tv/alfrea/clip/CarelessTsundereTrayDancingBaby-YHMOrJzfAoDsXBNo?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
86,「菅原勇矢はカス」,https://www.twitch.tv/alfrea/clip/PolishedCalmLatteDeIlluminati-EgfgcMjnBft5AngZ?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
87,「俺は絶対にコイツらをぶん殴るから！」,https://www.twitch.tv/alfrea/clip/SmilingShakingMinkANELE-qkngMP4dQKlBceG2?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
88,「星野源お前…ﾁｯ なぎさっちをあげるから、ガッキーを返してくれ」,https://www.twitch.tv/alfrea/clip/MagnificentWonderfulPuffinYouDontSay-kHSZb38ZU3Yz_fFl?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
89,「これが人間のごみ箱なんだよね。お前らが使ってるのは畜生のごみ箱」,https://www.twitch.tv/alfrea/clip/ThankfulPreciousWolverineOptimizePrime-v43XMDEFPbW1xTwt?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
90,"「は？何が""もしかして""なの」",https://www.twitch.tv/alfrea/clip/SquareSourGuanacoTBTacoLeft-Tyjk79rAVOZvHtx4?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
91,「リスナーに知性が芽生えてきた感じしない？今、この瞬間。ホムンクルスに今…知性が」,https://clips.twitch.tv/PhilanthropicSuspiciousLionPJSugar-vMs25abwADMV1aec,,,,,,,,,,,,,,,,,,,,,
92,「とんでもない時間にノーマル募集があったっていいだろ。平日の夜と休日にしてほしいって事か。そのね意識は俺の中にはない。…確かに、今夏休みだし。俺達学生としてもな」,https://clips.twitch.tv/KitschyUnusualCroquetteKreygasm-wYrv14fNS48pxlW_,,,,,,,,,,,,,,,,,,,,,
93,「BOTを守るのはお前だ」,https://clips.twitch.tv/ColorfulVainBillTF2John-BsByNNS3_vWbsdGM,,,,,,,,,,,,,,,,,,,,,
94,「なんでここでJGが来るのかわかる？俺の勝率が71％あるから」,https://www.twitch.tv/alfrea/clip/BoredSoftDotterelAliens-F-uJ1aCVvGgqqWMh,,,,,,,,,,,,,,,,,,,,,
95,「紙はきてない、ペンだけ来たの！」,https://www.twitch.tv/alfrea/clip/SquarePatientMelonYouWHY-BFplGTmsA5iVry4s?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
96,「カス、しね…ボケ！何をどうしたらこうなるんだ」,https://www.twitch.tv/alfrea/clip/SarcasticPatientChickpeaYee-kRKRabYSQ5k2S88_?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
97,「お前らがやってるのはヤスシ。ここにいるのはヤスオ」,https://www.twitch.tv/alfrea/clip/FunHealthyWhaleShadyLulu-jD2zHXTpa_vUGf32?filter=clips&range=all&sort=time,,,,,,,,,,,,,,,,,,,,,
98,「いやいいね、いいっすねぇ。これでダイヤになりたいって言うんだもんな」,https://clips.twitch.tv/RoughAcceptableOtterPeoplesChamp-FONNUftMwS5DyaFR,,,,,,,,,,,,,,,,,,,,,
99,「レートは低い、OK」f,https://www.twitch.tv/alfrea/clip/LazyMoldySaladDoubleRainbow-piTCHx1ZZwTkJYvo?filter=clips&range=24hr&sort=time,,,,,,,,,,,,,,,,,,,,,
100,「馬鹿が。雑魚がよ。逆らうんじゃねぇぞ」,https://www.twitch.tv/alfrea/clip/InventiveDeliciousKimchiShazBotstix-WEO8tYWZZ0yzBpJP?filter=clips&range=24hr&sort=time,,,,,,,,,,,,,,,,,,,,,
101,「おかしい人が2人も居たら集団戦には勝てない」,https://www.twitch.tv/alfrea/clip/ElatedAthleticArugulaGrammarKing-BKoXVZ0nBK_k9-hw?filter=clips&range=24hr&sort=time,,,,,,,,,,,,,,,,,,,,,
102,(Twitchに帰ってきた象先輩に対して)「地味に帰ってきてから一回もレイドしてないんだよな。『馬鹿が』と思って。『馬鹿が』と思って一回もレイドしてない人にレイドする」,https://www.twitch.tv/alfrea/clip/GleamingTastyMilkDancingBanana-CVL9_iom7EYyBoXI?filter=clips&range=24hr&sort=time,,,,,,,,,,,,,,,,,,,,,
103,「中身のねぇ自己紹介チャンネルかよ」,https://www.twitch.tv/alfrea/clip/VenomousArtsyHawkTakeNRG-OKiXSl5uf-RFP5NO?filter=clips&range=7d&sort=time,,,,,,,,,,,,,,,,,,,,,
104,「確かに、コレそうか。趣味のサイト紹介かと思ったけど、コレ違うもんな。何を見せられてたんだ今の」,https://www.twitch.tv/alfrea/clip/MuddyCovertStarPJSugar-fqYZbphE3z3_gGyj?filter=clips&range=7d&sort=time,,,,,,,,,,,,,,,,,,,,,
105,「ナイス俺。ヴァイパーの盾」,https://clips.twitch.tv/SuspiciousBusyAlligatorSMOrc-iyTY1YtjYWtkp6OO,,,,,,,,,,,,,,,,,,,,,
106,「ファイト負けたのはEviのULTのせいです！」,https://clips.twitch.tv/SpikySquareAntelopeHotPokket-l6Xllo42OOD6gLU5,,,,,,,,,,,,,,,,,,,,,
107,「まあ1個だけ言っておくと、口の利き方には気をつけろよ。お前らマジで」,https://clips.twitch.tv/RepletePoliteInternPipeHype-nw5ryfdCGrcJay2V,,,,,,,,,,,,,,,,,,,,,
108,「お前何回それで死ぬんだよ」,https://clips.twitch.tv/DepressedWrongSharkPeoplesChamp-qcMywSOdiRbmnenx,,,,,,,,,,,,,,,,,,,,,
109,「このアジールリコールが下手くそ、流石に。頼む、3回目」,https://www.twitch.tv/alfrea/clip/SeductiveBoxyDragonfruitPipeHype-2Vx3TXn_qsQBFwme?filter=clips&range=24hr&sort=time,,,,,,,,,,,,,,,,,,,,,
110,「馬鹿にしてるように見える！『流行ってるから積んでるんですか？この人達。プレートスチールキャップ積んだ方が強いと思うんですけど私は！』まで入っててもおかしくないなって思えるから俺が言ってあげてるってだけ。お前らのその、てきとーなコメントに。え？言ってない？言ってる言ってる、言ってるように見える。眼鏡ｸｲｯｸｲってしてるもんだって。『いやぁこれアイオニアブーツじゃなくてプレートスチールキャップだったら今の集団戦勝ってたのに』ｸｲｯて、やってるのが見える。黙れ」,https://www.twitch.tv/alfrea/clip/BloodyClearWoodpeckerShazBotstix-GNt7FBknOW9p0_sj?filter=clips&range=24hr&sort=time,,,,,,,,,,,,,,,,,,,,,
111,「別にいいじゃん忍者がエロゲやってても、解釈一致だけど」,https://clips.twitch.tv/SullenPopularGooseGrammarKing-XsYc0r4Wye_unzxv,,,,,,,,,,,,,,,,,,,,,
112,「まあ俺は別に、お前らからの印象を良くしようと思ってないから別に良い。好きに思え。この類は本当にどうでもいい」,https://clips.twitch.tv/AbnegateShakingWolfPanicVis-wPavwRzahXy6aYTp,,,,,,,,,,,,,,,,,,,,,
113,「まあ良くない。フックがダメっていうか、なにもかも別に良い所がなかったこの今の集団戦。なんもよくなくない？別に全部ダメ」,https://www.twitch.tv/alfrea/clip/HumbleNeighborlyKumquatKappaClaus-rrDSdFQzmRGrZvys,,,,,,,,,,,,,,,,,,,,,
114,「どうでも良い話もういいや。5000ビッツ、ありがとうございます。ありがとうございます…あぁ、感謝。どうでもよかった！これまでの流れは本当に必要ない！5000ビッツ、ありがとうございます。どー…でもいい！」,https://clips.twitch.tv/TangentialNastyOilBIRB-IJ9xAf6icwwegmKv,,,,,,,,,,,,,,,,,,,,,
115,「いらな！その情報、ウザ…ウザすぎｗ」,https://clips.twitch.tv/CrypticLuckyPicklesMrDestructoid-6sGmeA2k1sAO9Fql,,,,,,,,,,,,,,,,,,,,,
116,「ガチきしょダリウス顔キモ。ファッキュー」,https://clips.twitch.tv/RelievedUnusualInternGingerPower-zzl9Ip5JcRYMpmYp,,,,,,,,,,,,,,,,,,,,,
117,「サブスクギフトありがとうございます、10個感謝します。こんな…ぐちゃぐちゃの試合をしながら…ぐちゃぐちゃの試合ではなかったわ、ありがとうございます『DFM WIN』私もDFMを応援します」,https://www.twitch.tv/alfrea/clip/EasyBlightedCurryPoooound-cvHt5IvDavunN_JR?filter=clips&range=7d&sort=time,,,,,,,,,,,,,,,,,,,,,
118,「これコンボ象先輩のがうまいな」,https://clips.twitch.tv/ViscousCovertWerewolfChocolateRain-tY3kYcgf72KLflVA,,,,,,,,,,,,,,,,,,,,,
119,「えぇ…？『抜ける』っていう言い方おかしいんだよな。『本来自分は高いレートで、そこから抜け出さなくてはいけない』感出てる。そんなことはありえない」,https://www.twitch.tv/alfrea/clip/AmusedEagerHorsePogChamp-ic4gnP1_VYlkEdRU?filter=clips&range=24hr&sort=timep,,,,,,,,,,,,,,,,,,,,,
